MARN,Full_name,Experience_years,Charge,Visa type,Booking preference,Location,Success rate,Language,Employment Type,Google rating,Availability
1683449,Fengyuan Li,9,101– 200 AUD,421,Both,TAS,>81%,Punjabi,Independent,4.8,Immediately
9905606,Fereshteh Rahimi,26,101– 200 AUD,121,Online,ACT,31%-50%,Chinese - Fukienese,Organized,3.2,4- 6 month
960690,Feriha Guney,16,500+ AUD,201,Both,TAS, 51 %- 80 %,Romanian,Independent,4.4,4- 6 month
2318148,Fermesk Kaka,2,500+ AUD,186,Online,SA,< 30%,Chinese,Independent,3.1,2 - 3 month
1797148,Fernanda de Souza Farias,8,500+ AUD,976,Inperson,ACT,>81%,Lithuanian,Independent,4.0,2 - 3 month
1803816,Fi Hom Tam,7,101– 200 AUD,103,Both,WA, 51 %- 80 %,Hebrew,Independent,3.5,Immediately
1803361,Fides  Olivia Velarde,7,0 ~ 100 AUD,010,Both,VIC,< 30%,Ilokano,Organized,4.6,1 month
1275758,Filippo Pellegrino,13,500+ AUD,203,Inperson,SA, 51 %- 80 %,Swedish,Independent,4.1,4- 6 month
530696,Fiona Catherine Webb,20,0 ~ 100 AUD,495,Online,QLD,31%-50%,Chinese - Cantonese,Independent,2.8,Immediately
640004,Fiona Margaret Ryan,19,0 ~ 100 AUD,870,Online,NT,31%-50%,Turkish,Organized,4.7,1 month
1170414,Florence Talbo Parker,14,0 ~ 100 AUD,030,Online,VIC,31%-50%,Malayalam,Organized,4.7,2 - 3 month
1680533,Florence Man,9,500+ AUD,191,Both,QLD, 51 %- 80 %,French,Independent,2.9,1 month
1688937,Foo Aik Phuah,9,201 – 500 AUD,845,Both,WA,< 30%,Malayalam,Organized,4.1,Immediately
640477,Fozail Noor Sukhera,19,201 – 500 AUD,030,Both,QLD,31%-50%,Albanian,Organized,3.5,Immediately
849214,Francis Xavier Feng,17,0 ~ 100 AUD,422,Inperson,SA, 51 %- 80 %,Russian,Independent,2.8,2 - 3 month
1387488,Francis Ralph Tuazon Alberto,12,101– 200 AUD,462,Online,NT, 51 %- 80 %,Italian,Organized,4.9,Immediately
401209,Franco Del Monaco,21,201 – 500 AUD,151,Inperson,VIC,31%-50%,Thai,Organized,3.5,4- 6 month
103015,Frank Fan Luo,24,201 – 500 AUD,102,Inperson,NSW,< 30%,Swahili,Independent,5.0,2 - 3 month
744723,Frank Qi Wu,18,0 ~ 100 AUD,421,Both,TAS,< 30%,Vietnamese,Independent,2.8,2 - 3 month
851674,Frank Robert Mash,17,201 – 500 AUD,886,Inperson,VIC, 51 %- 80 %,Bengali,Independent,3.7,2 - 3 month
854011,Frank Xiang Qing Cai,17,201 – 500 AUD,407,Both,TAS,< 30%,Russian,Independent,4.6,Immediately
1279241,Frank Richter,13,0 ~ 100 AUD,802,Both,ACT,>81%,Urdu,Independent,4.3,Immediately
9903411,Frank Hua Zhang,26,500+ AUD,835,Both,NSW,< 30%,Farsi,Independent,3.0,2 - 3 month
1801892,Fraser William Pollock,7,500+ AUD,602,Inperson,VIC,< 30%,Burmese,Independent,4.3,1 month
853698,Fredrick Martin Molloy,17,500+ AUD,050,Online,ACT,31%-50%,Cambodian,Organized,2.7,4- 6 month
1801587,Freya Meredith Dos Santos,7,500+ AUD,427,Inperson,QLD,< 30%,Fijian,Organized,4.4,2 - 3 month
1461096,Friederike Dorothea Kuehn,11,201 – 500 AUD,189,Both,QLD, 51 %- 80 %,Afrikaans,Independent,3.8,2 - 3 month
101926,Fu Peng Wang,24,0 ~ 100 AUD,420,Inperson,NSW, 51 %- 80 %,Serbian,Organized,2.7,Immediately
1803025,Funda Sevdim,7,101– 200 AUD,405,Online,SA,< 30%,Burmese,Organized,4.2,2 - 3 month
1799124,Gabriela Barbara Scott,8,500+ AUD,864,Inperson,ACT,31%-50%,Romanian,Independent,3.8,4- 6 month
1278133,Gabriela Thomson,13,0 ~ 100 AUD,155,Online,WA,< 30%,Fijian,Independent,2.9,Immediately
323773,Gabrielle Samone Day Pavia,22,201 – 500 AUD,121,Online,SA,< 30%,Magyar,Organized,4.9,1 month
1791504,Gagan Butalia,8,101– 200 AUD,771,Both,ACT,< 30%,Spanish,Organized,3.8,Immediately
2318049,Gagandeep Singh Sidhu,2,101– 200 AUD,885,Inperson,NSW,< 30%,Cambodian,Organized,4.4,Immediately
964638,Gagandeep Singh,16,201 – 500 AUD,866,Inperson,VIC,< 30%,Dari,Independent,3.0,Immediately
1463147,Gagandeep  Gagan Ghuman Singh,11,500+ AUD,114,Both,SA,< 30%,Marathi,Independent,4.7,2 - 3 month
1575771,Gagandeep Sharma,10,0 ~ 100 AUD,415,Online,TAS,< 30%,Swahili,Organized,3.1,4- 6 month
2318091,Gagandeep Kaur Khanna,2,500+ AUD,573,Both,NSW,>81%,French,Organized,4.2,1 month
963188,Gaganjot Singh Bhatia,16,500+ AUD,487,Both,WA,< 30%,Japanese,Independent,3.1,2 - 3 month
2318156,Gaganpreet Singh Anand,2,500+ AUD,420,Inperson,NT, 51 %- 80 %,English,Independent,4.0,1 month
9802797,Gaik-Lin Chan,27,500+ AUD,190,Inperson,WA,31%-50%,English,Organized,3.3,2 - 3 month
1169960,Gajender Pal Singh,14,500+ AUD,487,Online,SA,31%-50%,Khmer,Independent,2.7,Immediately
9903651,Gajinder Paul,26,201 – 500 AUD,121,Inperson,VIC,>81%,Cambodian,Organized,4.4,4- 6 month
1467609,Gal Ariel Hirshberg,11,101– 200 AUD,836,Online,QLD,31%-50%,Lithuanian,Organized,3.4,Immediately
744083,Galhenage Ashad Chandra Perera,18,500+ AUD,572,Online,TAS,>81%,Macedonian,Organized,4.5,Immediately
316185,Galit Masika,22,101– 200 AUD,202,Online,NT,31%-50%,Chinese - Cantonese,Organized,3.7,1 month
1066626,Gamini Warshapperuma,15,500+ AUD,575,Both,NT, 51 %- 80 %,Romanian,Independent,4.4,Immediately
854364,Gamlath Ralalage Kasun Dharshana Gamlath,17,201 – 500 AUD,462,Online,WA,31%-50%,Kiswahili,Independent,4.9,Immediately
1678495,Ganesh Krishnan,9,201 – 500 AUD,426,Both,QLD,31%-50%,English,Independent,4.7,Immediately
801965,Gang Cao,17,201 – 500 AUD,190,Both,NSW,< 30%,Punjabi,Independent,4.7,Immediately
1279943,Gang Ren,13,0 ~ 100 AUD,124,Online,TAS,>81%,Bulgarian,Organized,4.2,4- 6 month
745893,Gangatharan Kanagerpillai,18,500+ AUD,956,Inperson,TAS,31%-50%,Laotian,Organized,3.5,2 - 3 month
1803063,Garima Pasoria,7,500+ AUD,892,Online,TAS,< 30%,Japanese,Organized,4.8,4- 6 month
2318150,Garry Po Giltendez,2,101– 200 AUD,476,Inperson,NSW,31%-50%,Slovak,Organized,4.8,4- 6 month
9804095,Garry Frederick Howard,27,0 ~ 100 AUD,151,Inperson,NT,31%-50%,Bulgarian,Independent,3.3,2 - 3 month
1173762,Gary Louis Maserow,14,500+ AUD,423,Inperson,WA,< 30%,Gujarati,Independent,3.1,Immediately
9803576,Gary Adrian van Den Elsen,27,500+ AUD,457,Both,SA,>81%,Hebrew,Organized,3.4,1 month
1805710,Gaurav Duggal,7,500+ AUD,428,Both,TAS, 51 %- 80 %,English,Organized,4.1,4- 6 month
1806582,Gaurav Chawla,7,201 – 500 AUD,602,Online,NT, 51 %- 80 %,Laotian,Organized,3.7,2 - 3 month
2217868,Gaurav Chanana,3,500+ AUD,416,Online,WA,< 30%,Nepali,Organized,4.1,4- 6 month
1680615,Gaurav Gaur,9,0 ~ 100 AUD,204,Inperson,SA,31%-50%,Syriac,Organized,3.4,2 - 3 month
1678964,Gauravdeep Singh Madan,9,101– 200 AUD,188,Online,VIC,< 30%,Japanese,Organized,4.0,4- 6 month
853972,Gautam Chhokar,17,201 – 500 AUD,132,Inperson,VIC,31%-50%,Slovak,Independent,3.0,2 - 3 month
2218000,Gavin Charles Taylor,3,0 ~ 100 AUD,887,Online,ACT,< 30%,Italian,Organized,4.4,2 - 3 month
1466786,Gavin Edward Stocks,11,500+ AUD,405,Both,VIC,31%-50%,Chinese - Wu,Independent,2.7,4- 6 month
1800424,Geety Nabi,7,0 ~ 100 AUD,574,Inperson,ACT,>81%,Czech,Organized,3.2,1 month
1576372,Gemma Ann Gray Fitzgerald,10,500+ AUD,419,Online,WA,< 30%,Ukrainian,Organized,3.5,2 - 3 month
322956,George Kurian,22,0 ~ 100 AUD,808,Inperson,SA,>81%,Korean,Independent,4.2,1 month
324987,George Katsaromitsos,22,500+ AUD,801,Inperson,NSW,31%-50%,German,Independent,4.5,Immediately
425396,George Harold Pearse,21,201 – 500 AUD,417,Inperson,ACT,< 30%,Chinese - Min,Independent,4.7,4- 6 month
1065361,George Sideridis,15,101– 200 AUD,571,Inperson,SA,< 30%,Kiswahili,Organized,3.8,4- 6 month
1382154,Georgina Rita Lyons,12,101– 200 AUD,143,Online,TAS,< 30%,Bengali,Organized,3.7,4- 6 month
9687736,Gerald Lau,29,500+ AUD,891,Inperson,QLD,31%-50%,Spanish,Independent,2.9,Immediately
1805258,Geraldine Therese Adikari,7,0 ~ 100 AUD,855,Both,SA,>81%,Danish,Independent,4.9,4- 6 month
1068739,Gerard Michael Joseph,15,500+ AUD,590,Both,NSW,31%-50%,Kurdish,Organized,4.0,4- 6 month
1276222,Gerard Arokiaraj Louis,13,101– 200 AUD,489,Online,ACT, 51 %- 80 %,Burmese,Organized,4.4,1 month
9791459,Gerard Charles Boylan,28,101– 200 AUD,405,Inperson,QLD,>81%,Croatian,Organized,4.4,1 month
635865,Gerardo Andres Hernandez,19,101– 200 AUD,445,Online,NSW, 51 %- 80 %,Malayalam,Independent,4.7,4- 6 month
1460902,German Peralta Glico,11,0 ~ 100 AUD,020,Inperson,NSW,>81%,Chinese - Mandarin,Independent,2.7,4- 6 month
2015041,Geroselene Francisco Glico-Kovarskis,5,201 – 500 AUD,802,Online,VIC,< 30%,Chinese - Mandarin,Independent,3.5,1 month
1175375,Gerrit Jansen van Rensburg,14,0 ~ 100 AUD,114,Both,NT, 51 %- 80 %,Spanish,Independent,3.4,Immediately
2117676,Ghada Corban,4,101– 200 AUD,801,Online,VIC, 51 %- 80 %,Swedish,Independent,3.6,2 - 3 month
2016933,Gia Bao Vuong,5,0 ~ 100 AUD,651,Both,NSW, 51 %- 80 %,English,Organized,3.3,1 month
1910010,Giang Huong Nguyen,6,0 ~ 100 AUD,103,Both,NT,31%-50%,Dutch,Independent,3.3,2 - 3 month
9251561,Gil Regino Tabios,33,201 – 500 AUD,103,Online,VIC,< 30%,Slovak,Organized,3.6,1 month
9902663,Gilda Asoy Ponferrada,26,0 ~ 100 AUD,855,Both,VIC,>81%,Nepali,Independent,3.8,Immediately
1688348,Gina Priwitzer,9,0 ~ 100 AUD,051,Inperson,ACT,31%-50%,Kiswahili,Independent,4.1,Immediately
1803892,Ginni Kocher,7,101– 200 AUD,186,Online,TAS,>81%,Fijian,Organized,3.2,Immediately
745759,Giovanni Cristiano,18,101– 200 AUD,785,Online,QLD, 51 %- 80 %,Russian,Organized,2.5,2 - 3 month
2016279,Girish Hemant Pohankar,5,500+ AUD,456,Inperson,VIC, 51 %- 80 %,Dutch,Independent,3.9,Immediately
1681583,Girish Rawat,9,201 – 500 AUD,574,Online,QLD,>81%,Khmer,Independent,4.6,Immediately
1794078,Girishkumar Jayantilal Patel,8,0 ~ 100 AUD,191,Online,WA, 51 %- 80 %,Magyar,Organized,3.5,1 month
1574283,Gisella Ali,10,500+ AUD,570,Online,QLD,>81%,Khmer,Organized,5.0,Immediately
1798958,Giuseppe Romano,8,0 ~ 100 AUD,051,Online,ACT,31%-50%,Farsi,Independent,4.5,Immediately
1797477,Gladwin Poduthas,8,0 ~ 100 AUD,186,Online,VIC, 51 %- 80 %,Albanian,Independent,3.0,2 - 3 month
1574745,Glaucia  Cintra de Freitas,10,0 ~ 100 AUD,804,Both,NT, 51 %- 80 %,Farsi,Organized,3.3,4- 6 month
1382192,Glen Ashley Dival,12,0 ~ 100 AUD,020,Online,WA,31%-50%,Chinese - Min,Independent,3.6,Immediately
1385471,Glen Teow Hua Ong,12,101– 200 AUD,804,Online,SA,< 30%,Hebrew,Independent,5.0,2 - 3 month
2318033,Glenda Marie Emery,2,500+ AUD,456,Online,WA,< 30%,Chinese - Mandarin,Independent,2.6,4- 6 month
850908,Glenn Edward Wellburn,17,500+ AUD,890,Inperson,TAS, 51 %- 80 %,Portuguese,Independent,4.4,1 month
1685069,Glynis Merle Berber,9,0 ~ 100 AUD,445,Both,NSW,< 30%,Polish,Organized,3.0,2 - 3 month
1700298,Golum Zahur Mohammad Fazlul Haque,8,201 – 500 AUD,576,Online,TAS,>81%,Marathi,Independent,4.3,2 - 3 month
1912185,Gordon John Jennison,6,201 – 500 AUD,309,Inperson,WA, 51 %- 80 %,Norwegian,Organized,3.6,4- 6 month
743677,Govind Swamy Pillay,18,500+ AUD,419,Inperson,VIC,>81%,Magyar,Independent,4.1,1 month
2217811,Govinda Kandel,3,201 – 500 AUD,575,Both,ACT, 51 %- 80 %,Nepali,Organized,4.4,2 - 3 month
2217920,Govindaraj Raju,3,0 ~ 100 AUD,124,Online,SA, 51 %- 80 %,Czech,Independent,4.9,2 - 3 month
211694,Grace Xian Li Xie,23,0 ~ 100 AUD,496,Inperson,VIC,< 30%,Albanian,Independent,4.1,Immediately
321533,Grace Yang Shen,22,101– 200 AUD,475,Inperson,SA,< 30%,Lithuanian,Organized,2.8,1 month
639454,Grace Gatbonton-Prince,19,201 – 500 AUD,190,Both,ACT,>81%,Korean,Organized,3.2,4- 6 month
1278260,Grace Amal Roberto,13,101– 200 AUD,856,Online,ACT,31%-50%,Laotian,Independent,2.8,2 - 3 month
9601063,Grace Xiao Yan Chen,29,101– 200 AUD,572,Both,NSW,>81%,Persian,Independent,4.7,2 - 3 month
9903911,Grace Yunbun Lam,26,201 – 500 AUD,890,Online,VIC, 51 %- 80 %,Punjabi,Independent,4.8,4- 6 month
1573435,Grace Waitherero Ndung'u,10,201 – 500 AUD,175,Inperson,WA,31%-50%,Turkish,Organized,4.7,4- 6 month
1573295,Grace Chenfang Gao,10,101– 200 AUD,201,Inperson,NT,31%-50%,Spanish,Independent,4.3,4- 6 month
6555,Graham John Paddington,25,500+ AUD,030,Both,QLD,< 30%,Montenegrin,Organized,2.7,4- 6 month
9801552,Graham Thomas Scarratt,27,500+ AUD,461,Online,TAS,31%-50%,Bengali,Independent,4.9,1 month
1575606,Graham Nicholas John Copson,10,500+ AUD,887,Online,NT,31%-50%,Portuguese,Independent,4.7,1 month
107180,Grant Lee Frankcombe,24,0 ~ 100 AUD,400,Online,WA,>81%,Hungarian,Organized,3.7,1 month
1803621,Greeshma Shahi,7,101– 200 AUD,010,Online,TAS,< 30%,Syriac,Independent,3.9,2 - 3 month
635858,Greg Francis Bicknell,19,201 – 500 AUD,115,Both,QLD,>81%,Bengali,Organized,4.3,1 month
208753,Gregory Charles Bowler,23,500+ AUD,461,Online,WA, 51 %- 80 %,Tagalog,Independent,4.6,2 - 3 month
211947,Gregory Leonard Calvert,23,0 ~ 100 AUD,475,Online,TAS,>81%,French,Organized,4.8,2 - 3 month
959139,Gregory Wayne Nicolson,16,500+ AUD,886,Both,WA,< 30%,Gujarati,Organized,2.9,Immediately
2217788,Gregory Sarthou Sabile,3,101– 200 AUD,866,Both,NT, 51 %- 80 %,Urdu,Organized,2.9,Immediately
1911344,Grietje Franzenburg,6,0 ~ 100 AUD,488,Online,SA,31%-50%,Croatian,Organized,3.8,2 - 3 month
201152,Grozda Nedeljkovic,23,101– 200 AUD,573,Both,QLD,>81%,Khmer,Organized,4.2,1 month
1800537,Guangning Li,7,500+ AUD,173,Both,NSW,31%-50%,Chinese - Min,Independent,3.2,1 month
1568816,Guangyao Zhao,10,500+ AUD,444,Online,WA,31%-50%,Macedonian,Organized,3.4,4- 6 month
638764,Guangyun Ma,19,201 – 500 AUD,417,Inperson,TAS,>81%,Filipino,Organized,3.9,4- 6 month
1795706,Guillaume Marie Florentin Germain Benoist,8,201 – 500 AUD,808,Both,TAS,>81%,Swedish,Organized,2.6,4- 6 month
1463349,Gulay Bektas,11,201 – 500 AUD,685,Both,SA,< 30%,Ilokano,Independent,4.0,2 - 3 month
1801169,Gulbeen Kaur Dhillon,7,500+ AUD,600,Online,SA, 51 %- 80 %,Marathi,Organized,3.9,2 - 3 month
530829,Gulenay Refik,20,201 – 500 AUD,423,Inperson,VIC, 51 %- 80 %,Tagalog,Organized,5.0,1 month
1068157,Gunady Marthadiantara,15,101– 200 AUD,121,Both,QLD,31%-50%,Cambodian,Organized,4.8,1 month
853509,Gunjan Mullick,17,201 – 500 AUD,191,Inperson,NT, 51 %- 80 %,Swahili,Independent,3.7,2 - 3 month
9788823,Guo Qiang Cai,28,0 ~ 100 AUD,445,Inperson,WA,>81%,Punjabi,Independent,4.2,Immediately
9688351,Guo-Chuan Xu,29,201 – 500 AUD,189,Both,NSW,< 30%,Danish,Organized,4.5,4- 6 month
1686259,Guodong Yuan,9,0 ~ 100 AUD,475,Both,QLD,>81%,Syriac,Independent,3.1,1 month
1682653,Guohui Xu,9,201 – 500 AUD,858,Both,QLD,>81%,Hindi,Independent,4.8,Immediately
747115,Guoxing Geoffrey Jiang,18,201 – 500 AUD,406,Both,TAS, 51 %- 80 %,Punjabi,Independent,3.4,1 month
956761,Gurbinder Singh,16,0 ~ 100 AUD,838,Inperson,WA,< 30%,French,Organized,2.8,1 month
2117400,Gurdeep Singh,4,0 ~ 100 AUD,482,Inperson,WA,>81%,Malayalam,Independent,2.7,Immediately
2016337,Gurdevjit Singh,5,500+ AUD,846,Both,VIC, 51 %- 80 %,Afrikaans,Organized,4.9,2 - 3 month
1680211,Gurinderbir Singh Gill,9,101– 200 AUD,590,Inperson,VIC, 51 %- 80 %,Russian,Independent,3.8,4- 6 month
2217951,Gurkiranjit Singh Bal,3,500+ AUD,428,Both,WA,>81%,Albanian,Independent,4.3,2 - 3 month
1683963,Gurleen  Kaur Bijan,9,0 ~ 100 AUD,856,Both,TAS, 51 %- 80 %,Chinese - Wu,Independent,3.3,4- 6 month
1801594,Gurmail Singh,7,201 – 500 AUD,051,Both,TAS,>81%,Chinese - Cantonese,Organized,3.7,4- 6 month
2217841,Gurmeet Singh,3,201 – 500 AUD,856,Online,ACT,< 30%,Fijian,Independent,4.4,1 month
1575264,Gurmeet Singh Dhindsa,10,101– 200 AUD,892,Both,VIC,>81%,Kurdish,Independent,4.4,Immediately
962354,Gurpinder Chima,16,201 – 500 AUD,176,Inperson,TAS,< 30%,Serbian,Independent,3.1,4- 6 month
1803669,Gurpreet Kaur Dhawan,7,101– 200 AUD,887,Both,TAS,31%-50%,Marathi,Organized,3.0,4- 6 month
1805203,Gurpreet Kaur,7,201 – 500 AUD,116,Both,SA,>81%,Filipino,Independent,3.6,Immediately
2117711,Gurpreet Singh,4,201 – 500 AUD,189,Inperson,ACT,< 30%,German,Independent,2.7,4- 6 month
2217773,Gurpreet Cheema,3,101– 200 AUD,808,Both,NT,31%-50%,Slovak,Independent,4.7,2 - 3 month
640799,Gurpreet Sandhu,19,101– 200 AUD,157,Online,NT,>81%,Czech,Independent,2.8,Immediately
853129,Gurpreet Singh,17,0 ~ 100 AUD,124,Both,NSW,>81%,Swahili,Independent,3.3,4- 6 month
1799542,Gurpreet Kaur -,8,0 ~ 100 AUD,590,Inperson,NSW, 51 %- 80 %,Chinese - Cantonese,Organized,3.8,4- 6 month
2318153,Gurpreet Singh Pandi,2,201 – 500 AUD,845,Online,NSW,>81%,Sinhalese,Independent,2.7,2 - 3 month
640600,Gursharan Singh,19,101– 200 AUD,419,Both,ACT,31%-50%,Italian,Independent,3.0,1 month
1679349,Gursharan Singh Sarkaria,9,201 – 500 AUD,160,Both,TAS,>81%,Vietnamese,Independent,4.3,Immediately
1573079,Gurtej Singh Chahal,10,101– 200 AUD,203,Inperson,NSW,< 30%,Dutch,Organized,3.5,2 - 3 month
1796150,Gurvinder Singh Mendiratta,8,0 ~ 100 AUD,456,Both,WA,>81%,Nepali,Organized,3.2,4- 6 month
2318057,Gurvinder Singh Bedi,2,201 – 500 AUD,121,Inperson,NT,31%-50%,Pidgin,Organized,3.9,2 - 3 month
1808842,Gurvinderjeet Singh Parmar,7,201 – 500 AUD,771,Inperson,TAS,< 30%,Italian,Independent,2.6,4- 6 month
965013,Gustavo Avila Ruiz,16,500+ AUD,573,Inperson,QLD,31%-50%,French,Organized,3.6,2 - 3 month
1798667,Ha  Ngoc Nguyen,8,500+ AUD,820,Inperson,NT,>81%,Dari,Organized,4.4,1 month
2318162,Ha Thu Thi Doan,2,101– 200 AUD,120,Both,ACT, 51 %- 80 %,Spanish,Independent,3.9,Immediately
2217885,Ha Thanh Nguyen,3,500+ AUD,574,Both,WA,31%-50%,Lithuanian,Independent,4.6,1 month
1801861,Habiba Danish,7,0 ~ 100 AUD,010,Inperson,ACT, 51 %- 80 %,Chinese - Wu,Organized,4.6,2 - 3 month
2318053,Hadi Payami,2,201 – 500 AUD,475,Both,WA,31%-50%,Indonesian,Independent,4.4,Immediately
320689,Hadi Assanteh,22,0 ~ 100 AUD,300,Both,NSW,31%-50%,Magyar,Organized,2.9,1 month
850977,Haeng Ki Min,17,500+ AUD,426,Online,WA, 51 %- 80 %,Filipino,Organized,4.2,2 - 3 month
742867,Hai Dong Shao,18,201 – 500 AUD,802,Inperson,WA,< 30%,Macedonian,Organized,4.7,2 - 3 month
1679685,Hai Wang,9,101– 200 AUD,051,Online,SA,< 30%,Macedonian,Organized,4.1,Immediately
2318063,Haifaa El Kadi,2,101– 200 AUD,416,Online,ACT,31%-50%,Cambodian,Independent,3.9,1 month
639334,Hailin Guo,19,201 – 500 AUD,406,Both,SA,>81%,Arabic,Independent,3.1,4- 6 month
640251,Hailong Jiang,19,0 ~ 100 AUD,808,Inperson,NSW,>81%,French,Organized,4.5,Immediately
1796732,Haishun Sun,8,500+ AUD,124,Inperson,WA,>81%,Persian,Independent,4.8,4- 6 month
1281841,Haixing Huang,13,201 – 500 AUD,820,Both,NT,31%-50%,Gujarati,Organized,3.1,1 month
534305,Haiyan Li,20,101– 200 AUD,835,Both,NT, 51 %- 80 %,Chinese - Hokkien,Independent,3.7,2 - 3 month
1685127,Haiyang Wang,9,0 ~ 100 AUD,426,Online,NSW, 51 %- 80 %,Russian,Independent,3.0,4- 6 month
1680608,Haiyang Zhao,9,500+ AUD,475,Inperson,NT,31%-50%,Bulgarian,Independent,2.9,4- 6 month
1797446,Haiyin Yu,8,101– 200 AUD,189,Both,TAS, 51 %- 80 %,Tagalog,Independent,3.6,4- 6 month
955540,Haiying Chen,16,500+ AUD,801,Both,ACT,>81%,Marathi,Organized,4.6,Immediately
2218006,Hajira Fatima Safa,3,201 – 500 AUD,115,Both,NT,< 30%,Urdu,Organized,3.9,Immediately
1792650,Hakbeom Kim,8,0 ~ 100 AUD,120,Both,SA,< 30%,Arabic,Organized,4.6,2 - 3 month
1568789,Hamdi Koyu,10,0 ~ 100 AUD,864,Inperson,NSW,< 30%,Bulgarian,Independent,2.6,Immediately
1169662,Hamed Hami Niroumand,14,101– 200 AUD,942,Online,TAS,< 30%,Polish,Organized,3.5,Immediately
1791059,Hamish MacLeod Brown,8,201 – 500 AUD,785,Inperson,TAS,>81%,Norwegian,Independent,3.1,4- 6 month
1909333,Han Xiao,6,0 ~ 100 AUD,851,Online,WA,31%-50%,Russian,Independent,3.7,Immediately
101402,Han Pin Khew,24,201 – 500 AUD,790,Both,QLD,>81%,Greek,Organized,2.9,4- 6 month
640333,Han Guo,19,500+ AUD,600,Online,QLD,< 30%,Laotian,Organized,4.6,1 month
1275809,Han Oh,13,0 ~ 100 AUD,406,Online,TAS,< 30%,Japanese,Organized,3.5,2 - 3 month
1382072,Han Yan,12,500+ AUD,132,Online,NT,< 30%,Polish,Independent,4.5,1 month
9795500,Han Wah Khoo,28,101– 200 AUD,790,Both,VIC,< 30%,Syriac,Independent,3.1,2 - 3 month
1461976,Hanan Haddad,11,201 – 500 AUD,571,Online,TAS,>81%,Bosnian,Independent,4.0,2 - 3 month
1467267,Haneef Mohammed,11,0 ~ 100 AUD,602,Online,QLD,>81%,Macedonian,Independent,3.6,2 - 3 month
854662,Hang Chen,17,500+ AUD,191,Online,NT,< 30%,German,Organized,4.0,1 month
1466255,Hang Wu,11,101– 200 AUD,309,Online,NSW, 51 %- 80 %,Dari,Organized,3.7,2 - 3 month
1687381,Hang Xu,9,0 ~ 100 AUD,685,Online,VIC, 51 %- 80 %,Chinese - Hokkien,Independent,4.8,2 - 3 month
2016508,Hangjoon Kim,5,201 – 500 AUD,838,Inperson,SA, 51 %- 80 %,Ilokano,Independent,4.6,2 - 3 month
1571973,Hanna Shah,10,0 ~ 100 AUD,576,Both,VIC,>81%,Korean,Independent,4.1,Immediately
426562,Hannibal Khoury,21,201 – 500 AUD,155,Inperson,VIC, 51 %- 80 %,Swahili,Organized,2.6,Immediately
9800855,Hanping Gu,27,101– 200 AUD,893,Inperson,ACT,< 30%,Kiswahili,Independent,3.3,Immediately
1801929,Hao Xu,7,500+ AUD,808,Online,WA,31%-50%,Vietnamese,Organized,4.1,1 month
1807690,Hao Zhang,7,101– 200 AUD,100,Both,WA, 51 %- 80 %,Montenegrin,Organized,2.9,2 - 3 month
1682759,Hao Huang,9,0 ~ 100 AUD,203,Online,WA,< 30%,Lithuanian,Independent,3.1,2 - 3 month
668,Haqing Wu,25,0 ~ 100 AUD,19,Inperson,TAS,31%-50%,Marathi,Organized,2.7,2 - 3 month
1465952,Haralambos Harry Gatsoulis,11,500+ AUD,785,Both,TAS,31%-50%,Amharic,Organized,4.2,4- 6 month
4151,Harbir Singh N Durgadev Singh,25,101– 200 AUD,804,Inperson,NSW,< 30%,Ukrainian,Organized,3.7,4- 6 month
1573353,Hardeep Singh Multani,10,500+ AUD,461,Both,ACT, 51 %- 80 %,Tamil,Organized,3.6,Immediately
1804448,Hardeep Kaur Sran,7,201 – 500 AUD,100,Online,TAS,< 30%,Indonesian,Independent,4.0,1 month
1575980,Hardeep Singh Ghattor,10,201 – 500 AUD,956,Both,ACT,< 30%,Japanese,Independent,3.6,Immediately
1685805,Hargunjeet Kaur,9,500+ AUD,121,Online,VIC,< 30%,Chinese - Wu,Independent,4.3,1 month
1571651,Hari Prasad Pokharel,10,101– 200 AUD,203,Online,TAS, 51 %- 80 %,Chinese - Cantonese,Independent,4.1,2 - 3 month
1913666,Harinder Singh,6,500+ AUD,115,Inperson,ACT,< 30%,Portuguese,Independent,4.1,1 month
1796763,Harinder Singh Kharoud,8,0 ~ 100 AUD,482,Inperson,ACT, 51 %- 80 %,Afrikaans,Independent,4.5,Immediately
1688088,Harish Chandra,9,201 – 500 AUD,456,Inperson,ACT, 51 %- 80 %,Magyar,Independent,2.9,1 month
1571935,Harjaskaran Singh,10,101– 200 AUD,445,Both,NSW, 51 %- 80 %,Portuguese,Organized,4.9,2 - 3 month
958569,Harjeet Singh Bhullar,16,500+ AUD,858,Inperson,WA,>81%,Ukrainian,Independent,2.9,1 month
1688913,Harjeet Singh Chahal,9,201 – 500 AUD,888,Online,WA, 51 %- 80 %,Tagalog,Independent,3.7,Immediately
956110,Harjinder Singh Chouhan,16,201 – 500 AUD,187,Both,SA,>81%,Amharic,Organized,4.0,1 month
2217864,Harjit Kaur Sandhu,3,0 ~ 100 AUD,858,Both,VIC, 51 %- 80 %,Fijian,Independent,4.8,4- 6 month
1912161,Harkirat Singh,6,101– 200 AUD,801,Both,QLD,31%-50%,Montenegrin,Independent,4.2,4- 6 month
1682139,Harmandeep Singh,9,0 ~ 100 AUD,416,Online,SA,31%-50%,Punjabi,Independent,3.0,2 - 3 month
